broadcast_id,type,content,creation_date,deadline,creator,urgency
17,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",24/5/2022 2:26,24/5/2022 2:26,7,Low
18,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",24/5/2022 21:58,24/5/2022 21:58,8,High
19,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",26/5/2022 21:29,26/5/2022 21:29,8,Low
20,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",30/5/2022 23:18,30/5/2022 23:18,8,Low
21,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1/6/2022 18:40,1/6/2022 18:40,8,High
22,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2/6/2022 1:25,2/6/2022 1:25,8,High
23,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2/6/2022 1:45,2/6/2022 1:45,7,High
24,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",3/6/2022 3:41,3/6/2022 3:41,8,High
25,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",4/6/2022 23:05,4/6/2022 23:05,8,Low
26,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",4/6/2022 23:40,4/6/2022 23:40,8,Low
27,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",5/6/2022 19:03,5/6/2022 19:03,8,High
28,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",6/6/2022 5:50,6/6/2022 5:50,7,Low
29,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",7/6/2022 0:57,7/6/2022 0:57,8,Low
30,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",9/6/2022 18:00,9/6/2022 18:00,8,Low
31,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",9/6/2022 18:00,9/6/2022 18:00,8,High
32,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",9/6/2022 20:39,9/6/2022 20:39,7,Low
33,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",10/6/2022 1:48,10/6/2022 1:48,8,High
34,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",12/6/2022 1:19,12/6/2022 1:19,7,Low
35,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",12/6/2022 3:55,12/6/2022 3:55,7,High
36,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",13/6/2022 19:53,13/6/2022 19:53,7,High
37,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",15/6/2022 3:51,15/6/2022 3:51,8,High
38,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",16/6/2022 21:28,16/6/2022 21:28,8,Low
39,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",17/6/2022 22:29,17/6/2022 22:29,8,Low
40,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",18/6/2022 19:39,18/6/2022 19:39,8,High
41,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",19/6/2022 1:51,19/6/2022 1:51,8,Low
42,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",19/6/2022 21:02,19/6/2022 21:02,7,High
43,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",19/6/2022 21:39,19/6/2022 21:39,8,High
44,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",23/6/2022 18:11,23/6/2022 18:11,7,High
45,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",24/6/2022 1:49,24/6/2022 1:49,8,Low
46,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",24/6/2022 5:08,24/6/2022 5:08,7,Low
47,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",24/6/2022 23:48,24/6/2022 23:48,7,High
48,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",25/6/2022 4:48,25/6/2022 4:48,7,Low
49,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",26/6/2022 5:48,26/6/2022 5:48,8,Low
50,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",26/6/2022 19:28,26/6/2022 19:28,7,Low
51,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",27/6/2022 18:30,27/6/2022 18:30,8,High
52,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",28/6/2022 4:24,28/6/2022 4:24,7,Low
53,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",28/6/2022 19:37,28/6/2022 19:37,7,High
54,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",29/6/2022 5:36,29/6/2022 5:36,8,Low
55,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",30/6/2022 1:32,30/6/2022 1:32,7,High
56,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",30/6/2022 18:21,30/6/2022 18:21,8,High
57,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1/7/2022 2:02,1/7/2022 2:02,7,Low
58,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1/7/2022 5:59,1/7/2022 5:59,8,High
59,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2/7/2022 20:05,2/7/2022 20:05,7,High
60,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",3/7/2022 3:23,3/7/2022 3:23,7,High
61,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",3/7/2022 21:30,3/7/2022 21:30,8,Low
62,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",3/7/2022 21:36,3/7/2022 21:36,8,High
63,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",4/7/2022 0:29,4/7/2022 0:29,8,Low
64,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",6/7/2022 19:50,6/7/2022 19:50,7,Low
65,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",6/7/2022 21:18,6/7/2022 21:18,7,Low
66,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",7/7/2022 0:58,7/7/2022 0:58,7,High
67,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",8/7/2022 0:53,8/7/2022 0:53,7,High
68,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",8/7/2022 2:17,8/7/2022 2:17,8,Low
69,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",10/7/2022 0:43,10/7/2022 0:43,8,Low
70,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",10/7/2022 5:49,10/7/2022 5:49,7,High
71,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",10/7/2022 18:13,10/7/2022 18:13,8,Low
72,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",10/7/2022 21:41,10/7/2022 21:41,7,Low
73,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",10/7/2022 22:30,10/7/2022 22:30,8,Low
74,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",11/7/2022 19:45,11/7/2022 19:45,8,Low
75,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",12/7/2022 21:16,12/7/2022 21:16,8,High
76,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",12/7/2022 21:30,12/7/2022 21:30,7,High
77,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",13/7/2022 21:07,13/7/2022 21:07,8,Low
78,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",15/7/2022 4:45,15/7/2022 4:45,8,High
79,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",15/7/2022 18:05,15/7/2022 18:05,7,Low
80,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",15/7/2022 22:08,15/7/2022 22:08,7,Low
81,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",17/7/2022 3:01,17/7/2022 3:01,7,High
82,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",17/7/2022 21:17,17/7/2022 21:17,8,High
83,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",17/7/2022 21:19,17/7/2022 21:19,8,High
84,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",18/7/2022 0:02,18/7/2022 0:02,7,High
85,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",19/7/2022 1:27,19/7/2022 1:27,8,High
86,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",19/7/2022 1:30,19/7/2022 1:30,7,High
87,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",20/7/2022 2:09,20/7/2022 2:09,8,High
88,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",20/7/2022 19:18,20/7/2022 19:18,7,High
89,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",20/7/2022 20:08,20/7/2022 20:08,8,Low
90,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",20/7/2022 23:34,20/7/2022 23:34,8,High
91,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",21/7/2022 18:02,21/7/2022 18:02,8,High
92,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",21/7/2022 19:20,21/7/2022 19:20,7,High
93,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",22/7/2022 20:14,22/7/2022 20:14,8,High
94,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",23/7/2022 21:19,23/7/2022 21:19,7,Low
95,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",25/7/2022 4:02,25/7/2022 4:02,7,High
96,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",26/7/2022 2:54,26/7/2022 2:54,7,High
97,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",26/7/2022 22:53,26/7/2022 22:53,8,Low
98,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",28/7/2022 2:51,28/7/2022 2:51,7,Low
99,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",29/7/2022 22:42,29/7/2022 22:42,7,High
100,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",30/7/2022 19:04,30/7/2022 19:04,8,Low
